EncID,PhotoFile,Ycoord,Xcoord,Date,Time,AgeCat,IndID,Distance
168,z20170801_134425_0164a.JPG,-25.6603,29.0087,2017-08-01,13:43:00,Jv,79,0
169,z20170801_134426_0165a.JPG,-25.6603,29.0087,2017-08-01,13:43:00,Ad,86,0
170,z20170801_134427_0166a.JPG,-25.6603,29.0087,2017-08-01,13:43:00,Ad,80,0
171,z20170801_134919_0167a.JPG,-25.6660,29.0064,2017-08-01,13:48:00,Ad,91,45
172,z20170801_135034_0169a.JPG,-25.6660,29.0064,2017-08-01,13:49:00,Ad,92,45
173,z20170801_135213_0170a.JPG,-25.6668,29.0061,2017-08-01,13:51:00,Ad,93,0
174,z20170801_135214_0171a.JPG,-25.6668,29.0061,2017-08-01,13:51:00,Ad,94,0
175,z20170801_135218_0172a.JPG,-25.6668,29.0061,2017-08-01,13:51:00,Jv,95,0
176,z20170801_135218_0172b.JPG,-25.6668,29.0061,2017-08-01,13:51:00,Ad,94,0
177,z20170801_135337_0179a.JPG,-25.6670,29.0061,2017-08-01,13:52:00,Ad,96,0
178,z20170801_135339_0180a.JPG,-25.6670,29.0061,2017-08-01,13:52:00,Ad,97,0
179,z20170801_135339_0180b.JPG,-25.6670,29.0061,2017-08-01,13:52:00,Ad,96,0
180,z20170801_135345_0181a.JPG,-25.6670,29.0061,2017-08-01,13:52:00,Ad,98,0
181,z20170801_142220_0192a.JPG,-25.6908,29.0028,2017-08-01,14:21:00,Ad,99,0
182,z20170801_142251_0198a.JPG,-25.6908,29.0028,2017-08-01,14:21:00,Ad,100,0
183,z20170801_151057_0209a.JPG,-25.7099,28.9924,2017-08-01,15:10:00,Ad,32,187
184,z20170801_151223_0214a.JPG,-25.7100,28.9923,2017-08-01,15:11:00,Ad,54,187
185,z20170801_151223_0214b.JPG,-25.7100,28.9923,2017-08-01,15:11:00,Ad,57,187
186,z20170802_073031_0008a.JPG,-25.7015,28.9464,2017-08-02,07:29:00,Ad,103,60
187,z20170802_073034_0009a.JPG,-25.7015,28.9464,2017-08-02,07:29:00,Ad,104,60
188,z20170802_073034_0009b.JPG,-25.7015,28.9464,2017-08-02,07:29:00,Ad,105,60
189,z20170802_073037_0010a.JPG,-25.7015,28.9464,2017-08-02,07:29:00,Jv,106,60
190,z20170802_073044_0011a.JPG,-25.7015,28.9464,2017-08-02,07:29:00,Ad,107,60
191,z20170802_073309_0012a.JPG,-25.7014,28.9463,2017-08-02,07:32:00,Ad,108,123
